Interview Date,Member,Interview Duration,Interview Notes,Do you have any vendor partnerships specifically for AI training or tools?,"What AI-related training, services are you currently providing to clients?",What AI tools or platforms do you use internally,What AI tools or platforms are you selling for clients to use?,What are clients asking for most when it comes to AI training?,What do you think are the biggest challenges you and your clients face when adopting AI?,What are the most common obstacles you're hitting when trying to actually implement AI tools in your daily work?,"Can you tell me about a recent AI project that went really well?/Are there particular AI projects or initiatives currently developed or published by your organization? If so, please explain.",Any particular AI projects you want to prioritize for your organization or clients?,How do you typically make decisions about taking on new AI initiatives or partnerships?,What success metrics matter most to you for AI projects?,Do you have capacity to take on more AI projects?,Are there any AI specializations or industries where you feel like you could be stronger?,Are there any government initiatives or regulations in your country that affect AI adoption?,Are there any cultural concerns/priorities regarding AI adoption?,"If the right opportunity came up, would you be interested in collaborating with other LLPA members on AI projects?",What does AI adoption look like in your country right now?,Do you work with any local universities or tech companies on AI initiatives?,Follow-up Actions,Interview,Interview Metadata
"August 13, 2025",CompuEducación,,,"Microsoft,AI Certs,SAP","Brands: ChatGPT,Gemini,Copilot,""Services: COnsulting, Training (vendor and own),Webinars, Workshops""",Gemini,Rol based consultuancy,Copilot fundamentals,"""""""Poorly defined business objectives Poor data quality Lack of collaboration between teams Talent""""""",,"AI para todos Mexico or The AI for All Mexico Program, promoted by CompuEducación, has proven to be a significant milestone in the adoption and development of artificial intelligence (AI) skills in Mexico. This free program has offered a series of webinars and specialized courses designed to transform the personal and professional lives of participants, regardless of their prior knowledge level.

The alliance and alignment of the AI for All Mexico Program with Microsoft's global objectives is evident, as both seek to democratize access to knowledge in artificial intelligence and prepare society for a more inclusive digital future. Microsoft, as a leader in technological innovation, actively promotes digital skills training and the ethical integration of AI in multiple sectors. This project in Mexico reflects those same principles, offering free, high-quality training that empowers people of all profiles, closing knowledge gaps, and facilitating the responsible adoption of AI. In this way, progress is being made in building a robust, diverse technological ecosystem prepared to face the challenges and opportunities presented by the artificial intelligence revolution.",,,,,"Manufacture, banking","No, there are not a relevant government initiatives",It is a discovery phase,Interested,It is a discovery phase,No,,,
"August 18, 2025",Teknologisk Institut,,"""we work with freelance instructors and that gives some limitations.""","Microsoft,CertNexus","Webinars,adaptive online-training,courses,blended-learning.","""""""We have an internally chatbot created by our IT-Department and AI-Lead on the institute. The chatbot covers GPT, Mistral, Gemini, Claude etc.  Soon the chatbot will also be available for our trainers and students during courses. """"""","No,we only do training.",CharGPT is still be main request from customers.,"Customer readiness,lack of budget for training,lack of use-cases,confusion of all the posiblities.",,"We are working with our AI-Lead to promote our chatbot to trainers and students.
Next week we are running a trainer-get-together to discuss the use of AI in the training generel speaking and to introduce them to the chatbot.",,,,,We are still facing the general aspects of AI - it is difficult to answer.,"Yes,both political aspect as well as security. AI-act and the discussions about american tech-giants. 
AI-upskilling is a priority but difficult to navigate when government on the same time want companies to move away from Tech-giants.",,"Yes, open to collaboration, but prefers projects not overly vendor-centric",,"No, we would like to stay indepentent due to our status as Technical Institute.",,,
"August 20, 2025",BilgeAdam IT Services,,,Microsoft,"Copilot webinars,Applied skills,bootcamps,software development services,outsourcing","Copilot,Chatgpt (internal use); we have an end-to-end HR tool that has AI integration.",We are providing outsourcing for several customers' internal AI projects.,"End user,prompt engineering","Customers not perfectly understanding AI adoption; either seeing it as a gimmick (new trend),or expecting the world from it.",,"AI bootcamp, focusing on AI development.",,,,,Finance/banking,"Individual government-backed chamber of commerces etc.
GDPA-related issues rg not having a data-center in Turkey.",,Interested,In it's early stages. Priority seems to be focused on end user and short-term added value.,"No
",,,
"August 20, 2025",ThinkSmart,,"ThinkSmart is mainly focusing on AI training but we at times, start with AI awareness session and at times consultancy for large organizations","Microsoft,AWS,Certnexus,Google",,"Copilot,ChatGPT,Gamma,Grammarly,Canva,etc",,,Reluctance from the leadership and security issues,,"National AI Skilling Initiative for Bahrain, AI Skilling Initiative for Telecom and Transportation Sector, AI for Executives and Mid Level Managers, to name a few",,,,,"General, Govt, Education, Smart Cities",,,Interested,"In some countries like UAE and Saudi, its very quick and it has reached adoption very effectively. In other countries in the region, its slower due to some reluctance and lack of awareness.",Yes we work with many leading universities in Gulf Countries,,,
"August 5, 2025",Eduhouse,33,"- Marika discussed Eduhouse’s AI and Cloud Pro offerings, primarily focused on Microsoft technologies

Please specify the audience that you as training partner is best equipped to serve or have a larger focus on? educators and trainers",- Yes: Microsoft is their primary and only vendor partner at the moment,"Microsoft official courseware,- AI literacy training,""- End-user training on tools like ChatGPT, Gemini"",- A literacy badge system under development,- Change management and role-based AI skilling","'- ChatGPT and Copilot licenses,- Eva: an internal AI chatbot for platform navigation and learning support,- AI tools for video production (specific tools not mentioned)","'- Not selling AI platforms directly,- Providing access to their own platform (includes AI features like Eva) as part of training subscriptions","- Basic AI skills and literacy,- Role-based AI training,- Proof of knowledge like certificates or badges,- Easy onboarding solutions for employees","- Lack of learner engagement and motivation,- Learners don’t see the relevance of AI,- Misalignment between tech/tool investment and people-skilling,- Time constraints and low awareness among users","- Same engagement issues internally,""- Lack of time, guidance, and clear starting points for staff"",- Rapid obsolescence of AI content,- Shortage of pedagogically skilled trainers","'- Microsoft-funded AI literacy project for public sector (healthcare, education, government)","- Development of AI literacy badges,- Role-based learning paths,- Potential collaboration with Avatar Intelligence on AI coaches","'- Based on strategic fit, client needs, and vendor alignment (especially Microsoft)
","- Learner engagement,- Platform usage data,- Skilling progress per learner,- Certification/badge attainment","""Yes, interested in collaboration. Currently have limited internal capacity (one person working on chatbot part-time). Open to partnerships and co-creation opportunities.""","- Not directly mentioned, but hints at challenges with finding qualified AI trainers","- Yes, public sector is heavily regulated
- Adoption in healthcare/government is slow due to legislation","- Finnish culture is slow to trust new technologies
- Preference for careful planning conflicts with AI's unpredictable nature
- Economic hardship and high unemployment also hinder adoption",Interested,"'- Organizations have invested in tools (e.g., Copilot) but lag in people-skilling
- Growing awareness of need to invest in training and data quality","'- Not with universities (government preference for public education sector)
- Collaborates with Microsoft
- Previously affiliated with Sovelto, now exploring potential with Avatar Intelligence","- Share slides on Avatar Intelligence AI coach
- Explore potential LLPA-wide pilot with Avatar Intelligence",,
"August 26, 2025",Bittnet,40,"Discussed Bittnet's AI training offerings, internal AI tool usage, adoption challenges in Romania, client interests, success metrics, and openness to collaboration.","Microsoft,AWS,• Devoxx Artisan (in-house brand)","""• AI Hub with structured courses: Understanding AI, Foundation, Applying AI, Building Solutions"",""• Role-based content for executives, business users, IT professionals, developers"",""• Vendor courses (Microsoft, AWS, DevOps)"",""• In-house courses: ChatGPT basics, prompt engineering, API integration""","• Power Platform with AI for data analytics,• AI-generated video scripts for SEO,• SEO agents for content in multiple domains,• Neural website translation (148 languages),""• Chatbot """"BT"""" for course recommendations"",• Social media automation agents,• Business development AI tools (in dev),• Web scraper agents (in dev),• GPT agents for sales tasks","""Not currently selling, but open to discussions with LLPA for reuse or collaboration on certain tools like chatbot, translation agent""","• General awareness,• Foundational courses,• Prompt engineering,• Few clients ask for specialized or advanced courses","• Low digital literacy in Romania,• Conservative mindset,• Concerns over disruption and job displacement","• Limited human resources,• Need for data privacy/confidentiality solutions,• Budget constraints","• Chatbot led to 4 leads, one valued at $17,000
• AI-powered blog articles improved form submissions and click-throughs
• SEO and video strategies tripled engagement",• Business development tool integrating purchase history with AI-generated learning paths • Scraper agents for broader content reach,"• Based on internal need and experimentation
• Research into market demand and keyword trends
• Budget limitations influence approach",• Lead generation • Traffic (organic reach and engagement) • Conversion metrics from blogs/webinars,"""Yes, though limited by human resources; AI helps scale""",Not explicitly mentioned; open to suggestions and expanding portfolio,"Yes, open to collaborating and sharing tools (pending internal approvals)","• Only general EU regulations apply
• No specific national policies yet",• Divide between conservative and tech-adopting segments • Concerns over job displacement and societal readiness,"• At an early stage
• General awareness is growing
• AI considered inevitable but adoption is uneven","• Some collaborations with universities (course delivery, webinars)
• Ongoing discussions and small-scale government projects","• Explore collaboration on chatbot, SEO agent, translation tool
• Potential support for research and course development around 2030 job skills",,
"September 2, 2025",Digicomp Academy,,"Digicomp is a long-standing Swiss training provider (47 years), strong in innovation and serving major multinationals. Offices in German and French-speaking regions. AI efforts include a wide course offering, internal usage of Gemini and ChatGPT, and active projects with Nestlé and ABB.","- No specific AI vendor partnerships outside of Microsoft and AWS.,""- Use Salesforce internally, but not a training partner.""","""- 96 AI courses across 5 areas (business transformation, marketing/design, AWS, Azure/OpenAI, ChatGPT)."",- Custom Copilot training (generic and role-specific).,- Large-scale sessions with global clients like Nestlé and ABB.,- Strong focus on prompt engineering and practical application.","'- Gemini (main internal AI tool).,- ChatGPT.,- Limited use of Copilot (some licenses for training and specific users).,""- Salesforce (not AI-specific, but integral to operations)."",- ChatGPT agent for customer service.,- Ethra Mind AI assistant for learners (pilot).","""- Microsoft Copilot (custom courses, training)."",- Azure/OpenAI.,- ChatGPT-based tools and use cases.","'- Business application-focused training (not just tech).,- Guidance on using AI for specific roles and outcomes.,- Custom sessions around specific tools or internal solutions.","'- Clients often unsure what they want (“do some AI”).,- Difficulty creating generic AI training with value.,- AI still seen as expensive or unnecessary by some (e.g. Copilot license cost).","- High cost and limited trust in Salesforce AI features.,- Lack of internal AI strategy.,- Uncertainty about value and ROI of automation.","'- Training projects with Nestlé (US) and ABB (India/US) on role-specific Copilot usage.
- Success in scaling sessions globally with flexible time zones.","- Expansion of Copilot role-specific training.,- Continue pilot with Ethra Mind and evaluate value for learners.","'- Based on strategic fit, client needs, and instructor expertise.
- Peter (CEO) pushes for experimentation.","- Microsoft’s “weekly average usage” metric.,- Adoption rates.,- Practical value and ROI for clients.","""- Yes, they are scaling to serve multinational clients worldwide.""","- Not explicitly mentioned.
- Struggle with generic AI training and early-stage guidance.","- No significant regulations mentioned.
- Switzerland is cautious with AI, especially in sensitive industries.
- Concern over data sovereignty and U.S. tech dependency.","- High emphasis on quality and security.
- Traditional mindset; not early adopters.
- Concern over trusting AI output.",- Yes. They are open to collaboration and sharing their Copilot expertise.,"- High awareness and general usage.
- Public is digitally literate.
- Conservative industries remain cautious.","- No.
- Universities see them as competitors and do not collaborate.",,,
"September 2, 2025",Semos Education,,"Is your organization doing any type of AI consulting? If so, what are you working on?
Yes, our organization offers AI consulting services focused on helping companies navigate digital transformation and integrate AI tools into their operations. We provide two main types of consultations:

Educational Consulting – This involves identifying which AI tools and knowledge areas would be most beneficial for a company’s employees. We then support them with tailored training and learning resources to build the necessary skills. Focused on the big picture, we walk them through the whole process no matter their starting point.

Implementational Consulting – In this phase, we go beyond education to actively design and implement AI solutions based on Microsoft services, including security features and custom AI agents. These solutions are tailored to streamline workflows, enhance decision-making, and improve operational efficiency across various business environments.

Our goal is to make AI both accessible and impactful for organizations, no matter where they are in their digital journey.



Is there any important information about AI within your organization that has not been addressed?
Yes, there are a few important aspects worth highlighting. Most notably, we are highly motivated to lead and implement LLPA’s global initiatives in the Balkans and Adriatic region. We see significant potential in this part of Europe and are fully prepared to take the lead in driving these efforts forward.

In addition, we prioritize staying informed about emerging AI trends and closely monitor developments across industries and training providers. This helps us remain competitive and responsive to market needs.

While we are creative in our approach to clients, we occasionally face challenges in setting clear priorities and balancing development with sales. With strategic guidance and support in identifying focus areas, we believe we could accelerate our growth and expand our impact.","""We have official partnerships with Microsoft, CertNexus, ISTQB and AWS.""","We offer a comprehensive suite of educational and consulting services to support AI adoption and digital transformation.,""These include webinars, panel discussions, half-day or one-day workshops, multi-day or multi-month courses, and academies which are up to ten months long. We also organise fairs/ conferences."",""In addition, we provide strategic consulting and hands-on implementation of AI solutions, including the development of custom AI agents."",""Even more, we have developed a video platform featuring over 50 expert-led sessions exploring AI applications across various industries and in multiple languages.""","""Microsoft Ecosystem: Copilot, Azure, Microsoft Designer"",""OpenAI & Language Models: ChatGPT, OpenAI API, GPT, BERT, RoBERTa, T5"",""Cloud & Development Platforms: AWS, Autodesk, ISTQB"",""Creative & Design Tools: Adobe Firefly, Canva, Figma, Hotpot AI, Midjourney, Designs.ai, Unity Muse, Stable Diffusion, Luma AI Genie, Luma AI Dream Machine"",""Project & Workflow Tools: Trello with Butler, Asana, ClickUp"",""Additional AI Tools & APIs: Cohere API, Hugging Face"",""Internal Methodologies: SCAMPER, Journey Mapping""",,"""Our most common AI training requests currently center around Microsoft technologies, with our most popular course being Empower Your Workforce with Copilot for Microsoft 365 Use Cases."",""Since the beginning of the year, we have trained approximately 1,000 participants in this program."",""Courses on ChatGPT prompting, AI in finance, and AI in HR are also gaining traction."",""Additionally, our collaboration with the Macedonian Chamber of Commerce has significantly boosted interest in AI for accountants, which is experiencing rapid growth in demand.""","One of the biggest challenges we face—both internally and with our clients—is the lack of a clear methodology for mapping AI opportunities within organizations.,""Without a structured approach, it’s difficult to identify where and how AI can be effectively introduced and implemented."",""Additionally, many companies struggle with keeping up with the rapid pace of AI development, which makes it hard for us to establish a consistent support system that meets their evolving needs."",A major gap we’ve identified is the absence of industry benchmarks—both for AI adoption and for the use of specific tools.,""Having access to these benchmarks would help us guide our clients more effectively, certify our trainers, and develop more targeted learning paths"",""We’ve begun creating AI learning paths tailored to specific industries, professions, and roles, ensuring that business leaders and technical staff receive content suited to their responsibilities."",""However, we aim to expand into more industries and would benefit greatly from insights into how AI is being implemented across different sectors."",""Finally, we are committed to increasing AI awareness through initiatives like our 30for30 platform, but we are also keen to learn how other regions and industries are successfully raising awareness and driving adoption.""",,"Yes, our organization is currently developing and delivering several major AI projects and initiatives. These represent some of our largest and most impactful efforts:

AI National Skills Initiative (AI NSI): Implemented across North Macedonia, Serbia, Montenegro, Kosovo, and Albania, this initiative focuses on building foundational AI skills and awareness in the region.

30 for 30 Platform: A regional AI awareness and education campaign active in the same countries, offering 30 expert-led videos on AI applications across industries.

Partnerships with Key Institutions: We are collaborating with the Macedonian Chamber of Commerce and the Institute for Chartered Accountants to deliver specialized AI training for professionals, including accountants.

Microsoft AI Training Programs: Delivered in Moldova, Belgium, North Macedonia, and the USA, these programs have reached over 300 participants, focusing on practical AI applications in business environments.

Agency for Employment in North Macedonia: We provided a Generative AI course to all participants, with a portion continuing into our AI Academy for deeper specialization.

AI Essentials on AWS Campaign: Targeted at AWS partners from six countries in the Adriatic region and their global affiliates. This initiative offers subsidized one-day training focused on Generative AI concepts, prompt engineering, and industry-specific use cases.

CANSEE Partnership: Our Serbian branch partnered with the Canadian-Serbian Business Association (CANSEE) to deliver AI-related workshops and participate in their “AI, Leadership and Entrepreneurship – Shaping the Future Together” conference.

Corporate AI Training Initiatives: We supported Raiffeisen Bank’s skilling initiative in Kosovo and Albania, as well as NLB Bank and IPKO’s AI programs in Kosovo. These recent initiatives have already engaged over 150 participants.

In addition to these projects, we regularly deliver AI training programs for a wide range of tech companies across the region, helping drive adoption and practical implementation of AI technologies.
",,,,,"We currently offer AI specializations in several areas, including AI in finance, AI in HR, AI agents, and Microsoft technologies. Additionally, we have developed AI modules tailored to each of our 15 academies, covering fields such as social media, interior, graphic and industrial design, game development, and project management among others.

However, one area where we see a clear gap is AI for IT professionals, particularly in non-vendor-based, open-source technologies. Strengthening our offerings in this space is a priority, especially as we aim to build stronger relationships with IT companies and tech experts.

We are also interested in gaining deeper insights into AI business mapping and implementation strategies. As we tailor our training and consulting services to the software ecosystems used by our clients, expanding our expertise in this area would allow us to deliver even more targeted and impactful solutions.","Yes, there are several important developments worth mentioning. Most notably, we have taken a leading role in advancing AI adoption in North Macedonia and the broader Adriatic region. We launched the AI National Skills Initiative (AI NSI) with full support from the Ministry for Digital Transformation, and we organized the first AI conference in the country, which was attended by President Stevo Pendarovski.

We have also partnered with the Employment Agency of the Republic of North Macedonia for several consecutive years to deliver AI training programs for unemployed individuals. Through our AI Academy, many participants have gained practical skills and transitioned into AI-related careers. Those who chose different career paths also attended AI courses which were tailored to their specific industry.

While there are currently no national AI regulations, we closely follow EU guidelines, as North Macedonia is an EU candidate country. This ensures our work remains aligned with broader European standards and best practices.",,"Yes, we would be very interested.","AI adoption in North Macedonia and the region is steadily growing, with increasing interest from both individuals and organizations. There are currently no significant cultural concerns or resistance regarding AI. On the contrary, we—along with other key players in the market—are actively promoting AI through education, training, and awareness campaigns.

As a result, a growing number of professionals and everyday users are integrating AI into both their personal and professional activities. The general sentiment is open, creating a favorable environment for further adoption and innovation.","We actively collaborate with various organizations on AI initiatives, though not with local universities. For example, we participated in Startup Macedonia’s AI in Tech initiative, which brought together key players in the local tech ecosystem.",,,
"September 5, 2025",Gopas,,,"MS,CN,AI Cert,Cyber2Labs...",,"CHGpt,Copilot,Perplexity,Grok,MidJourney...",,"AI overall training for management,GitHub,Copilot","still too new. Sometimes bigger expectations. But some departments can adopt qickly,some not...",,,,,,,,"Yep, EU regulations","small companies adopt qickly, big ones struggle",maybe,,,,,
"September 8, 2025",Cornerstone,,,Microsoft,"Copilot/GEN AI/Agentic AI end user webinars and onsite/public schedule training. Advisory Workshops to leadership teams,Change Management training,GEN AI e-learning,Very small advisory consulting","Copilot,Chatgpt,Claude",,"CoPilot Adoption training,AI technical training","Lack of understanding on the change management process,Lack of vision and communication from leadership groups,fear around security,lack of value creation,lack of funding for training",,"AI Adoption program focusing on leadership, super users and end user adoption",,,,,,"The EU AI Act, AI Sweden, Microsofts AI Lift program.",,Yes of course,"Nordic adoption according to the latest surveys lags well behind Europe, the US and Asia. BCG had adoption at 19% earlier this year. Unsure exactly what is causing the paralysis.",We work with a government body called AI Sweden to help drive Ai adoption in Sweden,,,
"September 11, 2025",ETC – Enterprise Training Center,,"Please specify the audience that you as training partner is best equipped to serve or have a larger focus on?
educators/trainers, government workers","Microsoft,AWS,RedHat,CertNexus","Copilot,Github,Chatgpt,Azure,AI Screening,Webinars,AI DigCERT",AI Screening,,"Awareness,Copilot,Github",,,"AI Badges for Microsoft Elevate, AI Screening and AI DigCERT according tu EU AI Act, TechConf, Marketing Automatization, Process Automatization, Marketing Content HAckathon",,,,,,"EU AI Act, DKO (Digitale Kompetenz Offensive)",,yes - on Products and internal optimization,,"Fit4Internet, DKO, VÖSI",,,
"September 12, 2025",Computrain,,,"""Microsoft, Exin (the Netherlands), AI Certs""","Everything from beginner courses in working with AI,ChatGPT and Copilot till AI Ready Data,AI for Marketing,AI Engineers and AI Business Leads.",We have developped an AI Learning Buddy as a co-trainer for our Office portfolio.,We are advising on AI skilling and adoption,"From beginner program's till specialized programms for AI Engineers,AI Business Professionals and L&D Professionals.",The knowlodge gap within companies.,,The Learning Buddy,,,,,Mostly Finance and Inssurance industrie / sectors,"Yes, the EU AI Act mostly.",,Interested,"The adoptation is ok, no cultural concers. Only concers are related to digital knowledge in general. The less adapted users are at working with technology in general the more problems they will have adopting AI. So Digital Skills and AI Literacy are crucial for adoption.",,,,
