Course,Path,Role,Member Organizations,Link,Vendor,Technology,Level,Delivery methodology,Language,Type,Industry,Audience
MS-AI-EDU: AI Bootcamp for Educators: Comprehensive Training in Artificial Intelligence,"""Educators: AI Teaching, Productivity & Innovation""",Education,ITG,,Microsoft,AI in Education,Intermediate,Instructor-led (ILT/VILT/Web),Spanish,Boot Camp,All,Professionals & Business Users
AC-900: AI+ Everyone,Citizen: Understanding & Awareness,Individuals,ITG,,AI Certs,AI Literacy,Beginner,Live virtual,Spanish,Short Course,Cross-industry,Business User
AC-130: AI+ Prompt Engineer Level 1,"SMEs: Innovating Products & Services with AI,SMEs:  AI Foundations for SMEs,SMEs: Applied AI for Daily Work,Citizen: Understanding & Awareness,Government: AI for Public Service Efficiency & Readiness,""Educators: AI Teaching, Productivity & Innovation""","Individuals,Education,SMEs,Government Officials",ITG,,AI Certs,Prompt Engineering,Beginner,Live virtual,Spanish,Short Course,Technology,AI Engineer
AI-E: AI+ Ethics,"SMEs: Innovating Products & Services with AI,SMEs: AI Strategy & Change Leadership,""Government: Responsible, Secure & Trustworthy AI in Government"",Techies: AI Security (Ethical Hacking & Compliance)","Tech Experts,SMEs,Government Officials",ITG,,AI Certs,AI Ethics,Beginner,Live virtual,Spanish,Short Course,Cross-industry,Manager
AP-280: AI+ Legal,"""SMEs: Responsible AI, Governance, Risk & Compliance"",""Government: Responsible, Secure & Trustworthy AI in Government""","SMEs,Government Officials",ITG,,AI Certs,AI in Legal,Intermediate,Live virtual,Spanish,Short Course,Legal,Legal Professional
MS-4004: Empower your workforce with Copilot for Microsoft 365 Use Cases,"""SMEs: AI-Powered Productivity, Operations, & Workflows"",SMEs: Applied AI for Daily Work",SMEs,ITG,,Microsoft,"Copilot,Microsoft 365",Beginner,Live virtual,Spanish,Short Course,All,Manager
MS-4005: Build effective prompts for Copilot for Microsoft 365,"""SMEs: AI-Powered Productivity, Operations, & Workflows"",SMEs: Applied AI for Daily Work,Citizen: Understanding & Awareness,Government: AI for Public Service Efficiency & Readiness,""Educators: AI Teaching, Productivity & Innovation""","SMEs,Individuals,Education,Government Officials",ITG,,Microsoft,"Copilot,Prompt Engineering",Intermediate,Live virtual,Spanish,Short Course,All,IT Professional
"MS-4018: Draft, analyze, and present with Microsoft 365 Copilot",SMEs: Applied AI for Daily Work,SMEs,ITG,,Microsoft,"Copilot,Microsoft 365",Intermediate,Live virtual,Spanish,Short Course,All,Business User
CNX0017: Artificial Intelligence for Business Professionals,SMEs:  AI Foundations for SMEs,SMEs,ITG,,CertNexus,AI Strategy,Beginner,Instructor-led (ILT/VILT/Web),Spanish,Short Course,Cross-industry,Manager
CNX0019: Generative AI for Business Professionals,SMEs:  AI Foundations for SMEs,SMEs,ITG,,CertNexus,Generative AI,Beginner,Instructor-led (ILT/VILT/Web),Spanish,Short Course,Cross-industry,Manager
MS-4012: Microsoft Copilot Web Based Interactive Experience for Executives,SMEs: AI Strategy & Change Leadership,SMEs,ITG,,Microsoft,Copilot,Beginner,Live virtual,Spanish,Workshop,All,Executive
MS-4008: Copilot for Microsoft 365 Interactive Experience for Executives,SMEs: AI Strategy & Change Leadership,SMEs,ITG,,Microsoft,"Copilot,Microsoft 365",Beginner,Live virtual,Spanish,Workshop,All,Executive
AI-EXE: AI+ Executive,SMEs: AI Strategy & Change Leadership,SMEs,ITG,,AI Certs,AI Strategy,Intermediate,Live virtual,Spanish,Short Course,Cross-industry,Executive
AP 910: AI+ Chief AI Officer,"SMEs: AI for Data-Driven Decision Making,SMEs: AI Strategy & Change Leadership",SMEs,ITG,,AI Certs,AI Strategy,Advanced,Live virtual,Spanish,Certification,Cross-industry,Executive
